Сортировка; Кол-во элементов; Тип массива; Время (Наносекунды)
Быстрая сортировка (Разбиение Ломуто); 130; Отсортированный в обратном порядке; 59520
Пирамидальная сортировка; 130; Отсортированный в обратном порядке; 14880
Сортировка выбором; 140; Отсортированный в обратном порядке; 49600
Сортировка пузырьком; 140; Отсортированный в обратном порядке; 114080
Сортировка пузырьком (Айверсон 1); 140; Отсортированный в обратном порядке; 114080
Сортировка пузырьком (Айверсон 1 + 2); 140; Отсортированный в обратном порядке; 104160
Сортировка вставками; 140; Отсортированный в обратном порядке; 104160
Сортировка бинарными вставками; 140; Отсортированный в обратном порядке; 79361
Сортировка подсчетом; 140; Отсортированный в обратном порядке; 14880
Цифровая сортировка; 140; Отсортированный в обратном порядке; 24799
Сортировка слиянием; 140; Отсортированный в обратном порядке; 34722
Быстрая сортировка (Разбиение Хоара); 140; Отсортированный в обратном порядке; 0
Быстрая сортировка (Разбиение Ломуто); 140; Отсортированный в обратном порядке; 69440
Пирамидальная сортировка; 140; Отсортированный в обратном порядке; 14880
Сортировка выбором; 150; Отсортированный в обратном порядке; 54564
Сортировка пузырьком; 150; Отсортированный в обратном порядке; 133916
Сортировка пузырьком (Айверсон 1); 150; Отсортированный в обратном порядке; 124000
Сортировка пузырьком (Айверсон 1 + 2); 150; Отсортированный в обратном порядке; 119044
Сортировка вставками; 150; Отсортированный в обратном порядке; 119038
Сортировка бинарными вставками; 150; Отсортированный в обратном порядке; 89278
Сортировка подсчетом; 150; Отсортированный в обратном порядке; 19842
Цифровая сортировка; 150; Отсортированный в обратном порядке; 24800
Сортировка слиянием; 150; Отсортированный в обратном порядке; 59518
Быстрая сортировка (Разбиение Хоара); 150; Отсортированный в обратном порядке; 4959
Быстрая сортировка (Разбиение Ломуто); 150; Отсортированный в обратном порядке; 84326
Пирамидальная сортировка; 150; Отсортированный в обратном порядке; 14875
Сортировка выбором; 160; Отсортированный в обратном порядке; 59518
Сортировка пузырьком; 160; Отсортированный в обратном порядке; 153760
Сортировка пузырьком (Айверсон 1); 160; Отсортированный в обратном порядке; 148802
Сортировка пузырьком (Айверсон 1 + 2); 160; Отсортированный в обратном порядке; 138878
Сортировка вставками; 160; Отсортированный в обратном порядке; 133920
Сортировка бинарными вставками; 160; Отсортированный в обратном порядке; 104160
Сортировка подсчетом; 160; Отсортированный в обратном порядке; 19842
Цифровая сортировка; 160; Отсортированный в обратном порядке; 19841
Сортировка слиянием; 160; Отсортированный в обратном порядке; 44641
Быстрая сортировка (Разбиение Хоара); 160; Отсортированный в обратном порядке; 4959
Быстрая сортировка (Разбиение Ломуто); 160; Отсортированный в обратном порядке; 89281
Пирамидальная сортировка; 160; Отсортированный в обратном порядке; 19837
Сортировка выбором; 170; Отсортированный в обратном порядке; 69440
Сортировка пузырьком; 170; Отсортированный в обратном порядке; 238081
Сортировка пузырьком (Айверсон 1); 170; Отсортированный в обратном порядке; 183520
Сортировка пузырьком (Айверсон 1 + 2); 170; Отсортированный в обратном порядке; 153758
Сортировка вставками; 170; Отсортированный в обратном порядке; 148801
Сортировка бинарными вставками; 170; Отсортированный в обратном порядке; 109119
Сортировка подсчетом; 170; Отсортированный в обратном порядке; 19841
Цифровая сортировка; 170; Отсортированный в обратном порядке; 29759
Сортировка слиянием; 170; Отсортированный в обратном порядке; 44640
Быстрая сортировка (Разбиение Хоара); 170; Отсортированный в обратном порядке; 4960
Быстрая сортировка (Разбиение Ломуто); 170; Отсортированный в обратном порядке; 109138
Пирамидальная сортировка; 170; Отсортированный в обратном порядке; 14869
Сортировка выбором; 180; Отсортированный в обратном порядке; 74401
Сортировка пузырьком; 180; Отсортированный в обратном порядке; 193442
Сортировка пузырьком (Айверсон 1); 180; Отсортированный в обратном порядке; 188478
Сортировка пузырьком (Айверсон 1 + 2); 180; Отсортированный в обратном порядке; 173600
Сортировка вставками; 180; Отсортированный в обратном порядке; 168640
Сортировка бинарными вставками; 180; Отсортированный в обратном порядке; 128961
Сортировка подсчетом; 180; Отсортированный в обратном порядке; 24800
Цифровая сортировка; 180; Отсортированный в обратном порядке; 24799
Сортировка слиянием; 180; Отсортированный в обратном порядке; 49600
Быстрая сортировка (Разбиение Хоара); 180; Отсортированный в обратном порядке; 4960
Быстрая сортировка (Разбиение Ломуто); 180; Отсортированный в обратном порядке; 119042
Пирамидальная сортировка; 180; Отсортированный в обратном порядке; 19838
Сортировка выбором; 190; Отсортированный в обратном порядке; 89279
Сортировка пузырьком; 190; Отсортированный в обратном порядке; 208320
Сортировка пузырьком (Айверсон 1); 190; Отсортированный в обратном порядке; 203360
Сортировка пузырьком (Айверсон 1 + 2); 190; Отсортированный в обратном порядке; 188480
Сортировка вставками; 190; Отсортированный в обратном порядке; 188480
Сортировка бинарными вставками; 190; Отсортированный в обратном порядке; 143841
Сортировка подсчетом; 190; Отсортированный в обратном порядке; 24801
Цифровая сортировка; 190; Отсортированный в обратном порядке; 24796
Сортировка слиянием; 190; Отсортированный в обратном порядке; 49602
Быстрая сортировка (Разбиение Хоара); 190; Отсортированный в обратном порядке; 0
Быстрая сортировка (Разбиение Ломуто); 190; Отсортированный в обратном порядке; 133918
Пирамидальная сортировка; 190; Отсортированный в обратном порядке; 14880
Сортировка выбором; 200; Отсортированный в обратном порядке; 94242
Сортировка пузырьком; 200; Отсортированный в обратном порядке; 233118
Сортировка пузырьком (Айверсон 1); 200; Отсортированный в обратном порядке; 228160
Сортировка пузырьком (Айверсон 1 + 2); 200; Отсортированный в обратном порядке; 208320
Сортировка вставками; 200; Отсортированный в обратном порядке; 208323
Сортировка бинарными вставками; 200; Отсортированный в обратном порядке; 158718
Сортировка подсчетом; 200; Отсортированный в обратном порядке; 19839
Цифровая сортировка; 200; Отсортированный в обратном порядке; 29767
Сортировка слиянием; 200; Отсортированный в обратном порядке; 49593
Быстрая сортировка (Разбиение Хоара); 200; Отсортированный в обратном порядке; 9923
Быстрая сортировка (Разбиение Ломуто); 200; Отсортированный в обратном порядке; 143840
Пирамидальная сортировка; 200; Отсортированный в обратном порядке; 19839
Сортировка выбором; 210; Отсортированный в обратном порядке; 99200
Сортировка пузырьком; 210; Отсортированный в обратном порядке; 262881
Сортировка пузырьком (Айверсон 1); 210; Отсортированный в обратном порядке; 252960
Сортировка пузырьком (Айверсон 1 + 2); 210; Отсортированный в обратном порядке; 233120
Сортировка вставками; 210; Отсортированный в обратном порядке; 228162
Сортировка бинарными вставками; 210; Отсортированный в обратном порядке; 173597
Сортировка подсчетом; 210; Отсортированный в обратном порядке; 24801
Цифровая сортировка; 210; Отсортированный в обратном порядке; 29760
Сортировка слиянием; 210; Отсортированный в обратном порядке; 54561
Быстрая сортировка (Разбиение Хоара); 210; Отсортированный в обратном порядке; 4960
Быстрая сортировка (Разбиение Ломуто); 210; Отсортированный в обратном порядке; 158720
Пирамидальная сортировка; 210; Отсортированный в обратном порядке; 24800
Сортировка выбором; 220; Отсортированный в обратном порядке; 114079
Сортировка пузырьком; 220; Отсортированный в обратном порядке; 287683
Сортировка пузырьком (Айверсон 1); 220; Отсортированный в обратном порядке; 282717
Сортировка пузырьком (Айверсон 1 + 2); 220; Отсортированный в обратном порядке; 252962
Сортировка вставками; 220; Отсортированный в обратном порядке; 252958
Сортировка бинарными вставками; 220; Отсортированный в обратном порядке; 188481
Сортировка подсчетом; 220; Отсортированный в обратном порядке; 19839
Цифровая сортировка; 220; Отсортированный в обратном порядке; 29761
Сортировка слиянием; 220; Отсортированный в обратном порядке; 54559
Быстрая сортировка (Разбиение Хоара); 220; Отсортированный в обратном порядке; 4964
Быстрая сортировка (Разбиение Ломуто); 220; Отсортированный в обратном порядке; 178557
Пирамидальная сортировка; 220; Отсортированный в обратном порядке; 29758
Сортировка выбором; 230; Отсортированный в обратном порядке; 124004
Сортировка пузырьком; 230; Отсортированный в обратном порядке; 312477
Сортировка пузырьком (Айверсон 1); 230; Отсортированный в обратном порядке; 307521
Сортировка пузырьком (Айверсон 1 + 2); 230; Отсортированный в обратном порядке; 277758
Сортировка вставками; 230; Отсортированный в обратном порядке; 277761
Сортировка бинарными вставками; 230; Отсортированный в обратном порядке; 238080
Сортировка подсчетом; 230; Отсортированный в обратном порядке; 19842
Цифровая сортировка; 230; Отсортированный в обратном порядке; 29761
Сортировка слиянием; 230; Отсортированный в обратном порядке; 59517
Быстрая сортировка (Разбиение Хоара); 230; Отсортированный в обратном порядке; 4961
Быстрая сортировка (Разбиение Ломуто); 230; Отсортированный в обратном порядке; 193439
Пирамидальная сортировка; 230; Отсортированный в обратном порядке; 19841
Сортировка выбором; 240; Отсортированный в обратном порядке; 128960
Сортировка пузырьком; 240; Отсортированный в обратном порядке; 337280
Сортировка пузырьком (Айверсон 1); 240; Отсортированный в обратном порядке; 332320
Сортировка пузырьком (Айверсон 1 + 2); 240; Отсортированный в обратном порядке; 302560
Сортировка вставками; 240; Отсортированный в обратном порядке; 287682
Сортировка бинарными вставками; 240; Отсортированный в обратном порядке; 218240
Сортировка подсчетом; 240; Отсортированный в обратном порядке; 19840
Цифровая сортировка; 240; Отсортированный в обратном порядке; 39679
Сортировка слиянием; 240; Отсортированный в обратном порядке; 59521
Быстрая сортировка (Разбиение Хоара); 240; Отсортированный в обратном порядке; 9920
Быстрая сортировка (Разбиение Ломуто); 240; Отсортированный в обратном порядке; 203362
Пирамидальная сортировка; 240; Отсортированный в обратном порядке; 34718
Сортировка выбором; 250; Отсортированный в обратном порядке; 148807
Сортировка пузырьком; 250; Отсортированный в обратном порядке; 367035
Сортировка пузырьком (Айверсон 1); 250; Отсортированный в обратном порядке; 352163
Сортировка пузырьком (Айверсон 1 + 2); 250; Отсортированный в обратном порядке; 327356
Сортировка вставками; 250; Отсортированный в обратном порядке; 322402
Сортировка бинарными вставками; 250; Отсортированный в обратном порядке; 238079
Сортировка подсчетом; 250; Отсортированный в обратном порядке; 9918
Цифровая сортировка; 250; Отсортированный в обратном порядке; 34718
Сортировка слиянием; 250; Отсортированный в обратном порядке; 64480
Быстрая сортировка (Разбиение Хоара); 250; Отсортированный в обратном порядке; 9920
Быстрая сортировка (Разбиение Ломуто); 250; Отсортированный в обратном порядке; 218241
Пирамидальная сортировка; 250; Отсортированный в обратном порядке; 34720
Сортировка выбором; 260; Отсортированный в обратном порядке; 153761
Сортировка пузырьком; 260; Отсортированный в обратном порядке; 396806
Сортировка пузырьком (Айверсон 1); 260; Отсортированный в обратном порядке; 386879
Сортировка пузырьком (Айверсон 1 + 2); 260; Отсортированный в обратном порядке; 357119
Сортировка вставками; 260; Отсортированный в обратном порядке; 347200
Сортировка бинарными вставками; 260; Отсортированный в обратном порядке; 262879
Сортировка подсчетом; 260; Отсортированный в обратном порядке; 19840
Цифровая сортировка; 260; Отсортированный в обратном порядке; 39682
Сортировка слиянием; 260; Отсортированный в обратном порядке; 69438
Быстрая сортировка (Разбиение Хоара); 260; Отсортированный в обратном порядке; 9919
Быстрая сортировка (Разбиение Ломуто); 260; Отсортированный в обратном порядке; 248001
Пирамидальная сортировка; 260; Отсортированный в обратном порядке; 29759
Сортировка выбором; 270; Отсортированный в обратном порядке; 168639
Сортировка пузырьком; 270; Отсортированный в обратном порядке; 431519
Сортировка пузырьком (Айверсон 1); 270; Отсортированный в обратном порядке; 421599
Сортировка пузырьком (Айверсон 1 + 2); 270; Отсортированный в обратном порядке; 381920
Сортировка вставками; 270; Отсортированный в обратном порядке; 381921
Сортировка бинарными вставками; 270; Отсортированный в обратном порядке; 277762
Сортировка подсчетом; 270; Отсортированный в обратном порядке; 24799
Цифровая сортировка; 270; Отсортированный в обратном порядке; 44638
Сортировка слиянием; 270; Отсортированный в обратном порядке; 74402
Быстрая сортировка (Разбиение Хоара); 270; Отсортированный в обратном порядке; 9918
Быстрая сортировка (Разбиение Ломуто); 270; Отсортированный в обратном порядке; 262880
Пирамидальная сортировка; 270; Отсортированный в обратном порядке; 34720
Сортировка выбором; 280; Отсортированный в обратном порядке; 178561
Сортировка пузырьком; 280; Отсортированный в обратном порядке; 466239
Сортировка пузырьком (Айверсон 1); 280; Отсортированный в обратном порядке; 451362
Сортировка пузырьком (Айверсон 1 + 2); 280; Отсортированный в обратном порядке; 416642
Сортировка вставками; 280; Отсортированный в обратном порядке; 416638
Сортировка бинарными вставками; 280; Отсортированный в обратном порядке; 307519
Сортировка подсчетом; 280; Отсортированный в обратном порядке; 24802
Цифровая сортировка; 280; Отсортированный в обратном порядке; 34720
Сортировка слиянием; 280; Отсортированный в обратном порядке; 79358
Быстрая сортировка (Разбиение Хоара); 280; Отсортированный в обратном порядке; 4963
Быстрая сортировка (Разбиение Ломуто); 280; Отсортированный в обратном порядке; 272797
Пирамидальная сортировка; 280; Отсортированный в обратном порядке; 39680
Сортировка выбором; 290; Отсортированный в обратном порядке; 193439
Сортировка пузырьком; 290; Отсортированный в обратном порядке; 486080
Сортировка пузырьком (Айверсон 1); 290; Отсортированный в обратном порядке; 481120
Сортировка пузырьком (Айверсон 1 + 2); 290; Отсортированный в обратном порядке; 431522
Сортировка вставками; 290; Отсортированный в обратном порядке; 436481
Сортировка бинарными вставками; 290; Отсортированный в обратном порядке; 327359
Сортировка подсчетом; 290; Отсортированный в обратном порядке; 24801
Цифровая сортировка; 290; Отсортированный в обратном порядке; 44640
Сортировка слиянием; 290; Отсортированный в обратном порядке; 74398
Быстрая сортировка (Разбиение Хоара); 290; Отсортированный в обратном порядке; 14878
Быстрая сортировка (Разбиение Ломуто); 290; Отсортированный в обратном порядке; 292641
Пирамидальная сортировка; 290; Отсортированный в обратном порядке; 39681
Сортировка выбором; 300; Отсортированный в обратном порядке; 208318
Сортировка пузырьком; 300; Отсортированный в обратном порядке; 535680
Сортировка пузырьком (Айверсон 1); 300; Отсортированный в обратном порядке; 520801
Сортировка пузырьком (Айверсон 1 + 2); 300; Отсортированный в обратном порядке; 471199
Сортировка вставками; 300; Отсортированный в обратном порядке; 461280
Сортировка бинарными вставками; 300; Отсортированный в обратном порядке; 337279
Сортировка подсчетом; 300; Отсортированный в обратном порядке; 14882
Цифровая сортировка; 300; Отсортированный в обратном порядке; 49598
Сортировка слиянием; 300; Отсортированный в обратном порядке; 79360
Быстрая сортировка (Разбиение Хоара); 300; Отсортированный в обратном порядке; 9920
Быстрая сортировка (Разбиение Ломуто); 300; Отсортированный в обратном порядке; 312481
Пирамидальная сортировка; 300; Отсортированный в обратном порядке; 39683
Сортировка выбором; 400; Отсортированный в обратном порядке; 367035
Сортировка пузырьком; 400; Отсортированный в обратном порядке; 937440
Сортировка пузырьком (Айверсон 1); 400; Отсортированный в обратном порядке; 937441
Сортировка пузырьком (Айверсон 1 + 2); 400; Отсортированный в обратном порядке; 833279
Сортировка вставками; 400; Отсортированный в обратном порядке; 813442
Сортировка бинарными вставками; 400; Отсортированный в обратном порядке; 610080
Сортировка подсчетом; 400; Отсортированный в обратном порядке; 29761
Цифровая сортировка; 400; Отсортированный в обратном порядке; 49599
Сортировка слиянием; 400; Отсортированный в обратном порядке; 104158
Быстрая сортировка (Разбиение Хоара); 400; Отсортированный в обратном порядке; 9920
Быстрая сортировка (Разбиение Ломуто); 400; Отсортированный в обратном порядке; 565441
Пирамидальная сортировка; 400; Отсортированный в обратном порядке; 59519
Сортировка выбором; 500; Отсортированный в обратном порядке; 565445
Сортировка пузырьком; 500; Отсортированный в обратном порядке; 1463203
Сортировка пузырьком (Айверсон 1); 500; Отсортированный в обратном порядке; 1443362
Сортировка пузырьком (Айверсон 1 + 2); 500; Отсортированный в обратном порядке; 1294559
Сортировка вставками; 500; Отсортированный в обратном порядке; 1299520
Сортировка бинарными вставками; 500; Отсортированный в обратном порядке; 962242
Сортировка подсчетом; 500; Отсортированный в обратном порядке; 24796
Цифровая сортировка; 500; Отсортированный в обратном порядке; 74393
Сортировка слиянием; 500; Отсортированный в обратном порядке; 143838
Быстрая сортировка (Разбиение Хоара); 500; Отсортированный в обратном порядке; 14875
Быстрая сортировка (Разбиение Ломуто); 500; Отсортированный в обратном порядке; 877922
Пирамидальная сортировка; 500; Отсортированный в обратном порядке; 69445
Сортировка выбором; 600; Отсортированный в обратном порядке; 813442
Сортировка пузырьком; 600; Отсортированный в обратном порядке; 2103038
Сортировка пузырьком (Айверсон 1); 600; Отсортированный в обратном порядке; 2078239
Сортировка пузырьком (Айверсон 1 + 2); 600; Отсортированный в обратном порядке; 1855041
Сортировка вставками; 600; Отсортированный в обратном порядке; 1874878
Сортировка бинарными вставками; 600; Отсортированный в обратном порядке; 1378883
Сортировка подсчетом; 600; Отсортированный в обратном порядке; 24797
Цифровая сортировка; 600; Отсортированный в обратном порядке; 79358
Сортировка слиянием; 600; Отсортированный в обратном порядке; 173600
Быстрая сортировка (Разбиение Хоара); 600; Отсортированный в обратном порядке; 19840
Быстрая сортировка (Разбиение Ломуто); 600; Отсортированный в обратном порядке; 1259837
Пирамидальная сортировка; 600; Отсортированный в обратном порядке; 89282
Сортировка выбором; 700; Отсортированный в обратном порядке; 1101118
Сортировка пузырьком; 700; Отсортированный в обратном порядке; 2886726
Сортировка пузырьком (Айверсон 1); 700; Отсортированный в обратном порядке; 2812314
Сортировка пузырьком (Айверсон 1 + 2); 700; Отсортированный в обратном порядке; 2534559
Сортировка вставками; 700; Отсортированный в обратном порядке; 2554401
Сортировка бинарными вставками; 700; Отсортированный в обратном порядке; 1869918
Сортировка подсчетом; 700; Отсортированный в обратном порядке; 34718
Цифровая сортировка; 700; Отсортированный в обратном порядке; 99200
Сортировка слиянием; 700; Отсортированный в обратном порядке; 193440
Быстрая сортировка (Разбиение Хоара); 700; Отсортированный в обратном порядке; 24807
Быстрая сортировка (Разбиение Ломуто); 700; Отсортированный в обратном порядке; 1711196
Пирамидальная сортировка; 700; Отсортированный в обратном порядке; 99199
Сортировка выбором; 800; Отсортированный в обратном порядке; 1453281
Сортировка пузырьком; 800; Отсортированный в обратном порядке; 3749761
Сортировка пузырьком (Айверсон 1); 800; Отсортированный в обратном порядке; 3675362
Сортировка пузырьком (Айверсон 1 + 2); 800; Отсортированный в обратном порядке; 3298401
Сортировка вставками; 800; Отсортированный в обратном порядке; 3313282
Сортировка бинарными вставками; 800; Отсортированный в обратном порядке; 2425440
Сортировка подсчетом; 800; Отсортированный в обратном порядке; 29758
Цифровая сортировка; 800; Отсортированный в обратном порядке; 114080
Сортировка слиянием; 800; Отсортированный в обратном порядке; 238080
Быстрая сортировка (Разбиение Хоара); 800; Отсортированный в обратном порядке; 24801
Быстрая сортировка (Разбиение Ломуто); 800; Отсортированный в обратном порядке; 2236977
Пирамидальная сортировка; 800; Отсортированный в обратном порядке; 128957
Сортировка выбором; 900; Отсортированный в обратном порядке; 1835198
Сортировка пузырьком; 900; Отсортированный в обратном порядке; 4731833
Сортировка пузырьком (Айверсон 1); 900; Отсортированный в обратном порядке; 4865766
Сортировка пузырьком (Айверсон 1 + 2); 900; Отсортированный в обратном порядке; 4538391
Сортировка вставками; 900; Отсортированный в обратном порядке; 4290401
Сортировка бинарными вставками; 900; Отсортированный в обратном порядке; 3124797
Сортировка подсчетом; 900; Отсортированный в обратном порядке; 29758
Цифровая сортировка; 900; Отсортированный в обратном порядке; 124004
Сортировка слиянием; 900; Отсортированный в обратном порядке; 262883
Быстрая сортировка (Разбиение Хоара); 900; Отсортированный в обратном порядке; 24793
Быстрая сортировка (Разбиение Ломуто); 900; Отсортированный в обратном порядке; 2832170
Пирамидальная сортировка; 900; Отсортированный в обратном порядке; 143834
Сортировка выбором; 1000; Отсортированный в обратном порядке; 2241920
Сортировка пузырьком; 1000; Отсортированный в обратном порядке; 5882562
Сортировка пузырьком (Айверсон 1); 1000; Отсортированный в обратном порядке; 5773442
Сортировка пузырьком (Айверсон 1 + 2); 1000; Отсортированный в обратном порядке; 5203038
Сортировка вставками; 1000; Отсортированный в обратном порядке; 5217900
Сортировка бинарными вставками; 1000; Отсортированный в обратном порядке; 3784475
Сортировка подсчетом; 1000; Отсортированный в обратном порядке; 34713
Цифровая сортировка; 1000; Отсортированный в обратном порядке; 143840
Сортировка слиянием; 1000; Отсортированный в обратном порядке; 297600
Быстрая сортировка (Разбиение Хоара); 1000; Отсортированный в обратном порядке; 34721
Быстрая сортировка (Разбиение Ломуто); 1000; Отсортированный в обратном порядке; 3496799
Пирамидальная сортировка; 1000; Отсортированный в обратном порядке; 158722
Сортировка выбором; 1100; Отсортированный в обратном порядке; 2723039
Сортировка пузырьком; 1100; Отсортированный в обратном порядке; 7102723
Сортировка пузырьком (Айверсон 1); 1100; Отсортированный в обратном порядке; 7048162
Сортировка пузырьком (Айверсон 1 + 2); 1100; Отсортированный в обратном порядке; 6264476
Сортировка вставками; 1100; Отсортированный в обратном порядке; 6254559
Сортировка бинарными вставками; 1100; Отсортированный в обратном порядке; 4568159
Сортировка подсчетом; 1100; Отсортированный в обратном порядке; 34725
Цифровая сортировка; 1100; Отсортированный в обратном порядке; 143836
Сортировка слиянием; 1100; Отсортированный в обратном порядке; 327361
Быстрая сортировка (Разбиение Хоара); 1100; Отсортированный в обратном порядке; 0
Быстрая сортировка (Разбиение Ломуто); 1100; Отсортированный в обратном порядке; 4240795
Пирамидальная сортировка; 1100; Отсортированный в обратном порядке; 188481
Сортировка выбором; 1200; Отсортированный в обратном порядке; 3318243
Сортировка пузырьком; 1200; Отсортированный в обратном порядке; 8466725
Сортировка пузырьком (Айверсон 1); 1200; Отсортированный в обратном порядке; 8357599
Сортировка пузырьком (Айверсон 1 + 2); 1200; Отсортированный в обратном порядке; 7454881
Сортировка вставками; 1200; Отсортированный в обратном порядке; 7573919
Сортировка бинарными вставками; 1200; Отсортированный в обратном порядке; 5460960
Сортировка подсчетом; 1200; Отсортированный в обратном порядке; 39680
Цифровая сортировка; 1200; Отсортированный в обратном порядке; 173599
Сортировка слиянием; 1200; Отсортированный в обратном порядке; 362081
Быстрая сортировка (Разбиение Хоара); 1200; Отсортированный в обратном порядке; 39679
Быстрая сортировка (Разбиение Ломуто); 1200; Отсортированный в обратном порядке; 5039360
Пирамидальная сортировка; 1200; Отсортированный в обратном порядке; 208318
Сортировка выбором; 1300; Отсортированный в обратном порядке; 3784482
Сортировка пузырьком; 1300; Отсортированный в обратном порядке; 9964640
Сортировка пузырьком (Айверсон 1); 1300; Отсортированный в обратном порядке; 9781120
Сортировка пузырьком (Айверсон 1 + 2); 1300; Отсортированный в обратном порядке; 8749444
Сортировка вставками; 1300; Отсортированный в обратном порядке; 8799045
Сортировка бинарными вставками; 1300; Отсортированный в обратном порядке; 6438079
Сортировка подсчетом; 1300; Отсортированный в обратном порядке; 39682
Цифровая сортировка; 1300; Отсортированный в обратном порядке; 193441
Сортировка слиянием; 1300; Отсортированный в обратном порядке; 401761
Быстрая сортировка (Разбиение Хоара); 1300; Отсортированный в обратном порядке; 44641
Быстрая сортировка (Разбиение Ломуто); 1300; Отсортированный в обратном порядке; 5917276
Пирамидальная сортировка; 1300; Отсортированный в обратном порядке; 223205
Сортировка выбором; 1400; Отсортированный в обратном порядке; 4394558
Сортировка пузырьком; 1400; Отсортированный в обратном порядке; 11532004
Сортировка пузырьком (Айверсон 1); 1400; Отсортированный в обратном порядке; 11353447
Сортировка пузырьком (Айверсон 1 + 2); 1400; Отсортированный в обратном порядке; 10148155
Сортировка вставками; 1400; Отсортированный в обратном порядке; 10187838
Сортировка бинарными вставками; 1400; Отсортированный в обратном порядке; 7410238
Сортировка подсчетом; 1400; Отсортированный в обратном порядке; 34721
Цифровая сортировка; 1400; Отсортированный в обратном порядке; 188463
Сортировка слиянием; 1400; Отсортированный в обратном порядке; 411675
Быстрая сортировка (Разбиение Хоара); 1400; Отсортированный в обратном порядке; 54562
Быстрая сортировка (Разбиение Ломуто); 1400; Отсортированный в обратном порядке; 6894402
Пирамидальная сортировка; 1400; Отсортированный в обратном порядке; 238082
Сортировка выбором; 1500; Отсортированный в обратном порядке; 5059198
Сортировка пузырьком; 1500; Отсортированный в обратном порядке; 13337436
Сортировка пузырьком (Айверсон 1); 1500; Отсортированный в обратном порядке; 13034881
Сортировка пузырьком (Айверсон 1 + 2); 1500; Отсортированный в обратном порядке; 11680797
Сортировка вставками; 1500; Отсортированный в обратном порядке; 11700638
